[00:05:000.53 --> 00:05:001.09] [Roan]  Nou, daar gaan we.
[00:24:014.07 --> 00:24:021.41] [Roan]  Oké, dus met een beetje uitleg is het wel duidelijk, maar direct is het lastig om te begrijpen.
[00:24:013.39 --> 00:24:013.59] [Ermo]  Ja.
[00:24:021.72 --> 00:24:023.80] [Ermo]  Je moet hier gewoon mee gaan werken.
[00:24:024.93 --> 00:24:024.93] [Ermo]  En dan wordt het vanzelf duidelijker.
[00:24:025.52 --> 00:24:027.24] [Roan]  Oké, all right.
[00:24:028.18 --> 00:24:035.00] [Roan]  En ja, helpt dit wel beter om te begrijpen waarom dus die verspelling is gemaakt?
[00:24:035.24 --> 00:24:037.64] [Roan]  Voegt het nog wat toe ten opzichte van de tekst?
[00:24:037.81 --> 00:24:039.93] [Ermo]  Nou, Roan, dit voegt alles toe.
[00:24:040.15 --> 00:24:043.65] [Ermo]  Het is gewoon als je op een gegeven moment weet te begrijpen,
[00:24:044.29 --> 00:24:047.29] [Ermo]  als je dit gewoon een paar keer zelf toepast in de praktijk,
[00:24:047.53 --> 00:24:053.03] [Ermo]  en de keuze die het systeem maakt.
[00:24:053.22 --> 00:24:053.42] [Ermo]  Oké.
[00:24:053.79 --> 00:24:056.59] [Ermo]  Het komt ook overeen met de keuze die je zelf zou maken.
[00:24:056.78 --> 00:24:057.06] [Ermo]  M-hm.
[00:24:057.38 --> 00:25:002.05] [Ermo]  En dan ga je op een gegeven moment niet eens meer de geschreven tekst kijken,
[00:25:002.16 --> 00:25:003.70] [Ermo]  dan kijk je alleen nog maar naar deze diagram.
[00:25:004.44 --> 00:25:009.77] [Ermo]  Dus het heeft misschien iets van een leercurve nodig, Rowen, maar dan is het dat ook.
[00:25:010.16 --> 00:25:013.90] [Ermo]  Dus waarschijnlijk, ik ben zelf ook heel grafisch...
[00:25:010.13 --> 00:25:010.35] [Ermo]  Ja.
[00:25:015.15 --> 00:25:021.49] [Ermo]  ingesteld. Voor mij is het dan gewoon even checken van oké, waarom heeft hij die keuze
[00:25:021.49 --> 00:25:024.09] [Ermo]  gemaakt. Nou ja, dat is die onderste lijn. En dan is het voor mij al oké.
[00:25:025.54 --> 00:25:029.98] [Roan]  Ja, ja, dus dan zou je heel snel kunnen checken van wat zijn inderdaad de belangrijkste paden
[00:25:029.98 --> 00:25:033.84] [Roan]  en komt dat een beetje overheen met wat een logische uitleg zou zijn en dan kun je eigenlijk
[00:25:033.84 --> 00:25:035.90] [Roan]  meteen al ermee doorgaan.
[00:25:035.83 --> 00:25:036.23] [Ermo]  Ja, precies.
[00:25:036.42 --> 00:25:038.70] [Roan]  Oké, nee duidelijk.
[00:25:040.12 --> 00:25:044.92] [Roan]  Ja, en dat zou dan dus ook nog steeds helpen met het maken van een beslissing en sterker
[00:25:044.92 --> 00:25:047.52] [Roan]  nog, dat zou het sneller kunnen maken.
[00:25:047.25 --> 00:25:049.73] [Ermo]  Dat zou het sneller maken, inderdaad.
[00:25:050.04 --> 00:25:050.06] [Ermo]  Voor mij wel, ja.
[00:25:051.51 --> 00:25:053.13] [Roan]  Oké, ehm...
[00:25:053.77 --> 00:25:055.17] [Roan]  Ja, nee, eh... Duidelijk.
[00:25:055.27 --> 00:26:000.83] [Roan]  En dit zou wel echt wat toevoegen ten opzichte van gewoon een betrouwbaar model dat alleen een voorspelling geeft.
[00:26:000.93 --> 00:26:002.17] [Roan]  Dus alleen zegt deze twee.
[00:26:002.29 --> 00:26:007.97] [Roan]  Het is dan wel fijn om nog dus te kunnen kijken wat, zeg maar, de achterliggende gedachte daarvoor was.
[00:26:009.29 --> 00:26:011.83] [Ermo]  Nou ja, daar hebben we het net ook over gehad, Roan.
[00:26:012.51 --> 00:26:016.27] [Ermo]  Eigenlijk hoeft dat van mij niet, als het model gewoon doet wat hij doet.
[00:26:016.44 --> 00:26:016.62] [Ermo]  Mhm.
[00:26:017.45 --> 00:26:022.31] [Ermo]  Waar we het net ook over gehad hadden, dan vertrouw ik daar gewoon op.
[00:26:022.41 --> 00:26:024.25] [Ermo]  Dan is dat voor mij oké.
[00:26:024.63 --> 00:26:029.29] [Roan]  Maar dus ook als het in één oogopslag te verifiëren valt, als het model goed genoeg is,
[00:26:029.41 --> 00:26:033.21] [Roan]  dan is dat eigenlijk een beetje, dan is het makkelijker om gewoon het model te vertrouwen.
[00:26:034.67 --> 00:26:035.31] [Ermo]  Ja, zeker.
[00:26:038.31 --> 00:26:038.69] [Roan]  Duidelijk.
[00:26:040.76 --> 00:26:047.34] [Roan]  Ja, en hier, zou hier het nog handig zijn om extra informatie toe te voegen of juist weg te halen?
[00:26:047.48 --> 00:26:054.50] [Roan]  Want het is hier bijvoorbeeld die vacature-text staat, of de vacature staat erbij en de cv-text staat er nu bij.
[00:26:055.04 --> 00:26:058.74] [Roan]  En bijvoorbeeld dus ook wat informatie die dus eigenlijk minder belangrijk was.
[00:26:059.48 --> 00:27:003.46] [Roan]  Zou dat misschien handig zijn om weg te halen of juist iets toe te voegen?
[00:27:006.83 --> 00:27:008.55] [Ermo]  Ja, ik zit daar even over te dubben.
[00:27:010.63 --> 00:27:015.45] [Roan]  Ik denk dus in ieder geval een tekst die uitlegt hoe de graaf gelezen moet worden, dat dat handig is.
[00:27:016.51 --> 00:27:016.65] [Roan]  Ja.
[00:27:016.77 --> 00:27:019.07] [Roan]  Ja, gewoon die oorspronkelijke uitleg dus eigenlijk.
[00:27:019.21 --> 00:27:019.93] [Roan]  Nee, dat is ook zo.
[00:27:020.00 --> 00:27:026.32] [Ermo]  Maar nogmaals, zeg, op een gegeven moment weet je dat, en dan heb je dat gekeken, en dan hoeft dat ook niet meer.
[00:27:027.26 --> 00:27:033.80] [Ermo]  En dan is het misschien zelfs inderdaad alleen maar de dikke pijl is, de dikke pijlen zijn misschien al voldoende.
[00:27:034.42 --> 00:27:045.42] [Ermo]  Dus die route die dan minder daartoe leidt, of met die extra informatie, dus dat is die bovenste kleine, is misschien dan ook niet eens meer nodig.
[00:27:046.02 --> 00:27:054.10] [Roan]  Dus dan zou het alleen het belangrijkste pad eigenlijk, of als er twee paden zijn die ongeveer even belangrijk zijn geweest,
[00:27:054.56 --> 00:28:000.26] [Roan]  maar als er in dit geval dus bijvoorbeeld echt een grote winnaar is, dan is het wel alleen die...
[00:27:058.99 --> 00:28:003.51] [Ermo]  Dan is alleen de grote winnaar inderdaad relevant.
[00:28:005.02 --> 00:28:005.20] [Ermo]  Klopt.
[00:28:006.26 --> 00:28:011.70] [Roan]  En bijvoorbeeld die tekst, dus dat je weet wat voor type verbinding het is, dus in dit
[00:28:011.70 --> 00:28:016.24] [Roan]  geval is vervuld door en dus heeft subtype, voegt dat nog wat toe of zou eigenlijk alleen
[00:28:016.24 --> 00:28:018.58] [Roan]  dat pad al voldoende zijn?
[00:28:019.04 --> 00:28:024.10] [Ermo]  Nou ja, ik kon het sowieso niet lezen, maar ik denk dat dat niet hoeft, nee.
[00:28:024.18 --> 00:28:025.70] [Ermo]  Ik denk dat dat puur om het pad gaat.
[00:28:025.92 --> 00:28:029.46] [Ermo]  Is vervuld door waarde 6.667, ja, weet je.
[00:28:030.34 --> 00:28:031.48] [Ermo]  Van mijn gestolen worden.
[00:28:031.68 --> 00:28:032.88] [Roan]  Oké, nee, duidelijk.
[00:28:034.66 --> 00:28:037.16] [Roan]  Oké, ja, nee, prima.
[00:28:039.18 --> 00:28:048.26] [Roan]  En het was dus wel op eerste oogopslag inderdaad duidelijk wat in de graaf tussen de doelfacultuur en de doelkandidaat, waar het om ging.
[00:28:048.76 --> 00:28:053.54] [Roan]  Want je zei inderdaad al van die kandidaat helemaal rechts is degene waar het uiteindelijk om gaat.
[00:28:054.14 --> 00:28:057.46] [Roan]  Was dat direct duidelijk of was dat omdat je dat nog niet herinnerde vanuit de tekst?
[00:28:056.51 --> 00:28:059.98] [Ermo]  Ja, daar ging ik vanuit, ja. Dus dat was wel duidelijk.
[00:29:000.20 --> 00:29:005.74] [Ermo]  Dus dat was... Ja, natuurlijk wist ik het niet zeker, want ik zie het ding voor het eerst,
[00:29:005.90 --> 00:29:007.61] [Ermo]  maar ik ging er wel vanuit, ja.
[00:29:005.80 --> 00:29:006.00] [Ermo]  M-hm.
[00:29:007.84 --> 00:29:012.16] [Roan]  Maar het zou dan misschien wel handig zijn om die bijvoorbeeld een ander vormpje of een
[00:29:012.16 --> 00:29:014.64] [Roan]  ander kleurtje te geven dat het direct duidelijk is.
[00:29:014.54 --> 00:29:020.84] [Ermo]  Ja, of gekozen kandidaat of zo, of aan te bevelen kandidaat, weet ik veel.
[00:29:020.94 --> 00:29:028.18] [Roan]  Ja, oké, duidelijk. Het is niet per se nodig, maar het zorgt er dan wel voor dat er geen twijfel over mogelijk is.
[00:29:028.69 --> 00:29:029.09] [Ermo]  Oké.
[00:29:029.09 --> 00:29:035.41] [Ermo]  Nee, dus ik zat te kijken hoe zit het dan met die andere twee kandidaten, maar die vallen dus af.
[00:29:035.67 --> 00:29:038.61] [Ermo]  Ergens in de race zeg maar. Daar is een relatie mee en that's it.
[00:29:038.74 --> 00:29:044.86] [Roan]  Ja, dat kan dus hartstikke veel dingen kunnen de reden voor zijn, maar die zijn dus uiteindelijk niet verkozen.
[00:29:045.62 --> 00:29:045.74] [Ermo]  Nee.
[00:29:046.38 --> 00:29:046.76] [Ermo]  Oké.
[00:29:047.52 --> 00:29:052.64] [Roan]  En ja, dat is dan op zich, als het model inderdaad heeft gezegd, ja, die zijn niet voldoende,
[00:29:052.74 --> 00:29:055.00] [Roan]  dan is gewoon die informatie genoeg.
[00:29:055.08 --> 00:30:001.48] [Roan]  Het is dan niet nog nodig om een uitleg te genereren waarom bijvoorbeeld kandidaat 3726 niet gekozen is.
[00:30:001.93 --> 00:30:004.29] [Ermo]  Nee, nee, nee, dat hoeft eigenlijk niet, precies.
[00:30:004.99 --> 00:30:011.45] [Roan]  Oké, alright, dan kunnen we door naar de laatste, dus die staafdiagram onderaan.
[00:30:012.33 --> 00:30:014.23] [Ermo]  Oh ja.
[00:30:014.89 --> 00:30:023.17] [Roan]  Ja, hier heb je dus een staafdiagram van alle verschillende kandidaten en de bijgelegen vacatures en dat soort dingen.
[00:30:023.91 --> 00:30:028.33] [Roan]  En eigenlijk hoe belangrijk die uiteindelijk zijn geweest voor de vacature.
[00:30:030.13 --> 00:30:040.41] [Roan]  Dus ja, hieruit valt er goed op te maken welke dus daadwerkelijk het belangrijkste zijn geweest voor de voorspelling.
[00:30:044.18 --> 00:30:051.58] [Ermo]  Even kijken, dus de vacatures, dus de belangrijkheid, ja die gaat naar 10, dus dan zijn het de onderste 4.
[00:30:053.12 --> 00:30:058.46] [Ermo]  Even kijken, en daar zie je inderdaad de belangrijkheid tussen de vacatures.
[00:30:058.96 --> 00:31:001.32] [Ermo]  Twee vacatures en twee kandidaten.
[00:30:058.81 --> 00:30:058.99] [Ermo]  Mhm.
[00:31:002.68 --> 00:31:005.20] [Ermo]  Dus dat is wat ik lees.
[00:31:006.36 --> 00:31:012.20] [Roan]  Ja, nee, dat geeft dus inderdaad aan dat die het belangrijkst waren voor de voorspelling.
[00:31:014.10 --> 00:31:018.08] [Roan]  Maar ja, nee, dat was eigenlijk ook al een beetje terug te zien in die graaf, toch?
[00:31:018.10 --> 00:31:020.86] [Roan]  Want dat was waar dat pad doorheen liep.
[00:31:021.04 --> 00:31:021.74] [Ermo]  Ja, precies.
[00:31:022.46 --> 00:31:029.88] [Roan]  Ja, maar denk je dus dat dit ten opzichte van de graaf nog iets van een voordeel kan hebben?
[00:31:029.88 --> 00:31:036.32] [Roan]  Omdat dit misschien wat makkelijker is, omdat hier niet al die lijnen staan en zo?
[00:31:036.74 --> 00:31:041.42] [Roan]  Of denk je dat met alleen de graaf eigenlijk alle informatie al duidelijk genoeg zou zijn?
[00:31:043.97 --> 00:31:048.75] [Ermo]  Ja, want ik moet nu even zelf nadenken.
[00:31:048.98 --> 00:31:049.30] [Roan]  Uhu.
[00:31:049.49 --> 00:32:000.61] [Ermo]  van om welke vacature het nu alweer ging. Volgens mij ging het om de vacature 157652, hè?
[00:32:001.40 --> 00:32:018.52] [Roan]  Nee, volgens mij, als je omhoog scrolt, daar, 1, 4, 7, 5, 4, 2, dus de vacature die aanbevolen is en de kandidaat die aanbevolen is, die staan niet tussen het lijstje, omdat die natuurlijk, ja, eigenlijk zeg maar het allerbelangrijkste zijn altijd, en dat zijn degenen waar het om draait.
[00:32:017.48 --> 00:32:018.53] [Ermo]  Dat zijn degenen waar het om draait.
[00:32:021.27 --> 00:32:025.53] [Ermo]  Oké, nee dan is dit verwarrend Roan, het is zelfs verwarrend.
[00:32:025.50 --> 00:32:030.14] [Roan]  Oké, ja, dat hebben we ook al uit de andere interviews, kwam dat een beetje naar voren.
[00:32:030.53 --> 00:32:034.53] [Ermo]  Ja, nu begrijp ik het. Oké, dus je kijkt even naar de rest dingen.
[00:32:034.78 --> 00:32:035.02] [Roan]  M-hm.
[00:32:035.39 --> 00:32:040.37] [Ermo]  Dat zie je dus dat er inderdaad twee kandidaten en twee vacutures ook heel belangrijk zijn
[00:32:040.37 --> 00:32:041.31] [Ermo]  in dit verhaal.
[00:32:041.45 --> 00:32:044.99] [Ermo]  Dus in je verhaal die je wilt vertellen en waarom je dan de match hebt gekozen tussen
[00:32:044.99 --> 00:32:045.73] [Ermo]  die andere twee.
[00:32:046.05 --> 00:32:050.29] [Ermo]  Dus dat begrijp ik nu, maar je moest me wel helpen.
[00:32:050.29 --> 00:32:053.51] [Ermo]  Ja, oké, dat zetten we even op de verkeerde been.
[00:32:045.92 --> 00:32:046.04] [Ermo]  Oké.
[00:32:050.14 --> 00:32:051.66] [Roan]  Ja, oké, dat is...
[00:32:051.66 --> 00:32:053.46] [Ermo]  Het zette me een beetje op het verkeerde been.
[00:32:053.84 --> 00:32:055.16] [Roan]  Ja, oké.
[00:32:054.44 --> 00:32:054.78] [Ermo]  Oké.
[00:32:055.19 --> 00:32:059.41] [Ermo]  En die andere aspecten, die zijn dus veel minder van belang.
[00:32:059.97 --> 00:33:003.93] [Ermo]  Nou ja, weet je, Roan, als jij zelf dit staafdiagrammetje maakt,
[00:33:004.69 --> 00:33:008.41] [Ermo]  en je kijkt naar die andere vacatures en ook die gele dingen,
[00:33:009.13 --> 00:33:012.33] [Ermo]  dan kun je eigenlijk al constateren dat je dat kleine lijntje,
[00:33:012.39 --> 00:33:015.21] [Ermo]  dat bovenste lijntje in die stroomdiagram,
[00:33:015.73 --> 00:33:017.89] [Ermo]  niet meer hoeft te maken, want dan is het toch weer niet belangrijk.
[00:33:018.20 --> 00:33:021.08] [Roan]  Ja, klopt. Die doen er inderdaad niet heel erg...
[00:33:021.69 --> 00:33:027.97] [Ermo]  Ja, precies. Dus als je dit al ziet, dan zie je dat die dikke lijn waar wel die andere vacatures
[00:33:027.97 --> 00:33:034.17] [Ermo]  en kandidaten staan, dat is die onderste lijn, dat is wel belangrijk, want die gaan boven de zes.
[00:33:034.45 --> 00:33:034.49] [Ermo]  Ja.
[00:33:034.75 --> 00:33:037.75] [Ermo]  En die gaan ook in die onderste lijn, zeg maar.
[00:33:038.43 --> 00:33:039.76] [Roan]  Die graaf, ja.
[00:33:039.82 --> 00:33:041.26] [Ermo]  Ja, die staan in die graaf, en...
[00:33:042.20 --> 00:33:048.38] [Ermo]  Dus ja, in principe is dit overbodig, voor mij zou dit overbodig informatie zijn.
[00:33:048.44 --> 00:33:054.14] [Roan]  Oké, ja, en dan als we naar de simpele weergave, die aggregated...
[00:33:054.04 --> 00:33:056.24] [Ermo]  Zij staat gewoon al in de...
[00:33:056.56 --> 00:33:057.66] [Ermo]  Ja, ik zie het.
[00:33:057.78 --> 00:34:003.92] [Roan]  En hier geeft u dus eigenlijk een beetje hetzelfde neer, dus weer dat soortgelijke vacatures het
[00:34:003.92 --> 00:34:009.16] [Roan]  meest belangrijk waren en kandidaten ook best wel, maar dat de vacature type dat er niet
[00:34:009.16 --> 00:34:009.42] [Roan]  zo veel...
[00:34:009.42 --> 00:34:011.48] [Ermo]  Ja, en niet zo toe deed, ja, precies.
[00:34:011.54 --> 00:34:015.12] [Roan]  Maar dat is, ja, dus wat je zegt, ten opzichte van die graaf voelt het niet heel voltoet.
[00:34:009.40 --> 00:34:009.78] [Roan]  En niet...
[00:34:012.98 --> 00:34:016.80] [Ermo]  Ja, dit is, eh, wat je nu laat zien, Roan, oké.
[00:34:016.89 --> 00:34:020.57] [Roan]  Dit voegt nog een beetje toe?
[00:34:020.88 --> 00:34:021.24] [Ermo]  Ja, ja, ja.
[00:34:021.55 --> 00:34:026.83] [Roan]  Maar die uitgebreide versie, die kan eigenlijk achterwege blijven.
[00:34:027.15 --> 00:34:027.98] [Erma]  Nee, ja.
[00:34:028.61 --> 00:34:037.53] [Roan]  Allright, ja, en dit zou dus dan ook, nou dit misschien een beetje, maar die uitgebreide weergave, dat zou ook niet meehelpen met het maken van een beslissing ofzo,
[00:34:037.59 --> 00:34:043.77] [Roan]  dan zou je eigenlijk gewoon terug gaan naar die grafische weergave om daar zelf naar te kijken.
[00:34:044.08 --> 00:34:044.80] [Ermo]  Precies, ja, precies.
[00:34:046.71 --> 00:34:052.39] [Roan]  Oké, ja nee duidelijk. En als we weer even terug gaan naar de uitgebreide weergave?
[00:34:056.76 --> 00:35:003.34] [Roan]  Ja, als hier een soort, ja hoe zeg je dat, een soort hub van zou gemaakt kunnen worden,
[00:35:003.46 --> 00:35:007.98] [Roan]  dus dat die vacatures die dus onderaan als erg belangrijk zijn gegeven,
[00:35:008.46 --> 00:35:012.24] [Roan]  dat je daar op zou klikken en dan zou kunnen zien bijvoorbeeld dat was deze vacature,
[00:35:012.34 --> 00:35:015.96] [Roan]  zodat je kan zien, oh dat lijkt op de huidige vacature ofzo.
[00:35:016.84 --> 00:35:020.44] [Roan]  Zou dat nog iets toevoegen of zou dat eigenlijk ook alleen maar overbodige informatie zijn?
[00:35:020.07 --> 00:35:023.55] [Ermo]  Nou, dat is, nee, daar zeg je wel een goed dingetje.
[00:35:025.09 --> 00:35:037.36] [Roan]  Oké, dus dat je vanaf hier, mocht je zelf nog extra willen kijken en verifiëren, dat het hier het centrum voor de onderdelen is.
[00:35:037.25 --> 00:35:041.57] [Ermo]  Ja, dat zou hier goed zijn, want dan kun je toch nog even vergelijken.
[00:35:041.71 --> 00:35:041.91] [Roan]  Mhm.
[00:35:042.77 --> 00:35:045.49] [Ermo]  Nou ja, even op de kandidaat en ook op de vacature.
[00:35:045.75 --> 00:35:047.69] [Ermo]  Dus, hè, waar zij dan.
[00:35:047.81 --> 00:35:049.15] [Ermo]  Ja, nee, dat ben ik met je eens.
[00:35:049.75 --> 00:35:052.17] [Ermo]  Maar misschien zit het wel dicht bij elkaar of zo, weet je.
[00:35:052.31 --> 00:35:054.89] [Ermo]  Dus je kunt jezelf ook een inschatting doen.
[00:35:055.73 --> 00:36:000.99] [Ermo]  En een beetje verifiëren of het model inderdaad...
[00:36:000.99 --> 00:36:001.47] [Ermo]  Nou ja.
[00:35:055.09 --> 00:35:055.29] [Ermo]  Ja.
[00:36:003.04 --> 00:36:007.46] [Roan]  Ja, want ook als het 99% van de tijd goed is, is het die 1%...
[00:36:007.42 --> 00:36:009.62] [Ermo]  Een vorm van double checking is het, inderdaad.
[00:36:010.06 --> 00:36:011.64] [Ermo]  Dus hierbij zou ik zeggen ja.
[00:36:008.98 --> 00:36:009.20] [Roan]  Ja.
[00:36:012.63 --> 00:36:017.83] [Roan]  Oké, en ja, dan in dit geval is het dus fijn dat je dan direct kan zien, nou die onderste
[00:36:017.83 --> 00:36:021.47] [Roan]  vier dingen zijn belangrijk en de rest kan ik eigenlijk compleet negeren.
[00:36:021.57 --> 00:36:021.69] [Roan]  Ja.
[00:36:022.26 --> 00:36:023.18] [Ermo]  Ja, eigenlijk wel.
[00:36:023.34 --> 00:36:024.78] [Roan]  Ja, oké.
[00:36:025.64 --> 00:36:027.36] [Roan]  Ja, nee, dat is dan een...
[00:36:027.27 --> 00:36:031.95] [Ermo]  Ja, want ook als je dan naar de totale weergave gaat, dus je zal waarschijnlijk starten met
[00:36:031.95 --> 00:36:035.37] [Ermo]  de simpele weergave, dan kun je al kiezen.
[00:36:035.47 --> 00:36:038.53] [Ermo]  Dan denk je van, nou het ligt misschien aan de vacatures.
[00:36:038.81 --> 00:36:042.93] [Ermo]  Dus dan ga je daar op klikken en dan kom je zeg maar op die...
[00:36:042.93 --> 00:36:044.61] [Ermo]  Sorry, ik ben...
[00:36:045.58 --> 00:36:050.76] [Ermo]  Dan kom je op die simpele weer van de graaf en dan kom je dus op beide vacatures en dan
[00:36:050.76 --> 00:36:052.08] [Ermo]  kun je gewoon eens checken.
[00:36:052.26 --> 00:36:054.70] [Ermo]  Dat is wat het systeem zegt, dat is het belangrijkste.
[00:36:055.72 --> 00:36:058.24] [Ermo]  Nou, en dan heb je daar een check.
[00:36:058.34 --> 00:37:001.18] [Roan]  Ja, maar dat is dus meer dan de uitzondering, dan de regel.
[00:37:001.38 --> 00:37:005.58] [Roan]  Dat is gewoon een beetje in een soort twijfelgeval, zou dat nog handig kunnen zijn.
[00:37:006.42 --> 00:37:006.68] [Ermo]  Ja, precies.
[00:37:007.32 --> 00:37:011.70] [Roan]  Oké, ja, nee, dat waren de vragen eigenlijk.
[00:37:012.44 --> 00:37:013.92] [Roan]  Dus, ja, hartstikke...
[00:37:013.93 --> 00:37:019.35] [Ermo]  Ik ben benieuwd wat dit wordt, of dit echt een soort van beslissingstool gaat worden
[00:37:019.35 --> 00:37:021.69] [Ermo]  voor onze vacature, dus dat zou mooi zijn.
[00:37:023.34 --> 00:37:025.92] [Roan]  Uiteindelijk hopelijk wel inderdaad.s
